Source,Target,Weight,Type
43207,46675-0,3,undirected
Twain, Mark_Extract from Captain Stormfield's Visit to Heaven,Twain, Mark_Adventures of Huckleberry Finn, Chapters 01 to 05,1,undirected
Twain, Mark_Extract from Captain Stormfield's Visit to Heaven,Twain, Mark_Adventures of Huckleberry Finn, Chapters 21 to 25,1,undirected
Twain, Mark_Extract from Captain Stormfield's Visit to Heaven,Twain, Mark_Adventures of Huckleberry Finn,1,undirected
Twain, Mark_Extract from Captain Stormfield's Visit to Heaven,Twain, Mark_Life on the Mississippi, Part 2.,2,undirected
Twain, Mark_Extract from Captain Stormfield's Visit to Heaven,Twain, Mark_The Entire Project Gutenberg Works of Mark Twain,3,undirected
Twain, Mark_Extracts from Adam's Diary, translated from the original ms.,Twain, Mark_Eve's Diary, Part 3,6,undirected
Twain, Mark_Extracts from Adam's Diary, translated from the original ms.,Twain, Mark_Fenimore Cooper's Literary Offences,2,undirected
Twain, Mark_Extracts from Adam's Diary, translated from the original ms.,Twain, Mark_Quotations from the Project Gutenberg Editions of the Works of Mark Twain,1,undirected
Twain, Mark_Fenimore Cooper's Literary Offences,Twain, Mark_Eve's Diary, Part 3,1,undirected
Twain, Mark_Fenimore Cooper's Literary Offences,Twain, Mark_Extracts from Adam's Diary, translated from the original ms.,2,undirected
Twain, Mark_Fenimore Cooper's Literary Offences,Twain, Mark_Life on the Mississippi, Part 10.,3,undirected
Twain, Mark_Fenimore Cooper's Literary Offences,Twain, Mark_On the Decay of the Art of Lying,4,undirected
Twain, Mark_Fenimore Cooper's Literary Offences,Twain, Mark_Quotes and Images From The Works of Mark Twain,1,undirected
Twain, Mark_Fenimore Cooper's Literary Offences,Twain, Mark_The Curious Republic of Gondour, and Other Whimsical Sketches,1,undirected
Twain, Mark_Life on the Mississippi, Part 10.,5808,1,undirected
Twain, Mark_Life on the Mississippi, Part 10.,Twain, Mark_A Tramp Abroad - Volume 03,3,undirected
Twain, Mark_Life on the Mississippi, Part 10.,Twain, Mark_Fenimore Cooper's Literary Offences,3,undirected
Twain, Mark_Life on the Mississippi, Part 10.,Twain, Mark_Life on the Mississippi, Part 6.,3,undirected
Twain, Mark_Life on the Mississippi, Part 2.,Twain, Mark_A Connecticut Yankee in King Arthur's Court, Part 3.,1,undirected
Twain, Mark_Life on the Mississippi, Part 2.,Twain, Mark_Extract from Captain Stormfield's Visit to Heaven,2,undirected
Twain, Mark_Life on the Mississippi, Part 2.,Twain, Mark_Sketches New and Old, Part 1.,3,undirected
Twain, Mark_Life on the Mississippi, Part 2.,Twain, Mark_The Entire Project Gutenberg Works of Mark Twain,3,undirected
Twain, Mark_Life on the Mississippi, Part 6.,Dickens, Charles_American Notes,1,undirected
Twain, Mark_Life on the Mississippi, Part 6.,James, Henry_Within the Rim, and Other Essays, 1914-15,1,undirected
Twain, Mark_Life on the Mississippi, Part 6.,Twain, Mark_A Tramp Abroad - Volume 03,3,undirected
Twain, Mark_Life on the Mississippi, Part 6.,Twain, Mark_Life on the Mississippi, Part 10.,3,undirected
Twain, Mark_Life on the Mississippi, Part 6.,Twain, Mark_Roughing It, Part 7.,2,undirected
Twain, Mark_Life on the Mississippi, Part 6.,Twain, Mark_The Prince and the Pauper, Part 3.,1,undirected
Twain, Mark_Mark Twain's Letters - Volume 4 (1886-1900),Twain, Mark_A Tramp Abroad - Volume 07,1,undirected
Twain, Mark_Mark Twain's Letters - Volume 4 (1886-1900),Twain, Mark_Mark Twain's Speeches,5,undirected
Twain, Mark_Mark Twain's Letters - Volume 4 (1886-1900),Twain, Mark_The Entire Project Gutenberg Works of Mark Twain,4,undirected
Twain, Mark_Mark Twain's Speeches,James, Henry_A Bundle of Letters,1,undirected
Twain, Mark_Mark Twain's Speeches,Twain, Mark_Alonzo Fitz, and Other Stories,1,undirected
Twain, Mark_Mark Twain's Speeches,Twain, Mark_Mark Twain's Letters - Volume 4 (1886-1900),5,undirected
Twain, Mark_Mark Twain's Speeches,Twain, Mark_The Entire Project Gutenberg Works of Mark Twain,2,undirected
Twain, Mark_On the Decay of the Art of Lying,Twain, Mark_Eve's Diary, Part 3,3,undirected
Twain, Mark_On the Decay of the Art of Lying,Twain, Mark_Fenimore Cooper's Literary Offences,4,undirected
Twain, Mark_On the Decay of the Art of Lying,Twain, Mark_Quotes and Images From The Works of Mark Twain,6,undirected
Twain, Mark_Quotations from the Project Gutenberg Editions of the Works of Mark Twain,Twain, Mark_A Tramp Abroad - Volume 03,1,undirected
Twain, Mark_Quotations from the Project Gutenberg Editions of the Works of Mark Twain,Twain, Mark_Extracts from Adam's Diary, translated from the original ms.,1,undirected
